"Glottocode"	"Clade"	"Contact"	"Name"
"kash1277"	"Indo-Aryan"		"Kashmiri"
"khot1251"	"Iranian"		"Khotanese"
"kirm1248"	"Iranian"		"Kirmanjki"
"kohi1248"	"Indo-Aryan"		"Kohistani Shina"
"konk1267"	"Indo-Aryan"		"Konkan Marathi"
"kull1236"	"Indo-Aryan"		"Kullu Pahari"
"kumz1235"	"Iranian"		"Kumzari"
"ladi1250"	"Italic"		"Ladin"
"ladi1251"	"Italic"		"Ladino"
"lamb1269"	"Indo-Aryan"		"Lambadi"
"lati1261"	"Italic"		"Latin"
"ligu1248"	"Italic"		"Ligurian"
"limo1249"	"Germanic"	"yes"	"Limonese Creole"
"logu1236"	"Italic"		"Logudorese Sardinian"
"lomb1257"	"Italic"		"Lombard"
"mait1250"	"Indo-Aryan"		"Maithili"
"majh1253"	"Indo-Aryan"		"Majhi"
"mara1378"	"Indo-Aryan"		"Marathi"
"musl1236"	"Iranian"		"Muslim Tat"
"neap1235"	"Italic"		"Continental Southern Italian"
"nepa1254"	"Indo-Aryan"		"Nepali"
"nica1252"	"Germanic"	"yes"	"Nicaragua Creole English"
"nort2641"	"Iranian"		"Northern Kurdish"
"nort2662"	"Indo-Aryan"		"Northern Hindko"
"norw1258"	"Germanic"		"Norwegian"
"occi1239"	"Italic"		"Occitan"
"olde1238"	"Germanic"		"Old English (ca. 450-1100)"
"olds1250"	"Germanic"		"Old Saxon"
"oriy1255"	"Indo-Aryan"		"Odia"
"ormu1247"	"Iranian"		"Ormuri"
"pali1273"	"Indo-Aryan"		"Pali"
"panj1256"	"Indo-Aryan"		"Eastern Panjabi"
"penn1240"	"Germanic"		"Pennsylvania German"
"phal1254"	"Indo-Aryan"		"Palula"
"pica1241"	"Italic"		"Picard"
"piji1239"	"Germanic"	"yes"	"Pijin"
"plau1238"	"Germanic"		"Plautdietsch"
"poli1260"	"Slavic"		"Polish"
"port1283"	"Italic"		"Portuguese"
"rajb1243"	"Indo-Aryan"		"Rajbanshi"
"rana1246"	"Indo-Aryan"		"Rana Tharu"
"roma1326"	"Italic"		"Romansh"
"russ1263"	"Slavic"		"Russian"
"sadr1248"	"Indo-Aryan"		"Sadri"
"sana1297"	"Germanic"	"yes"	"San Andres Creole English"
"sang1315"	"Iranian"		"Sangisari"
"sans1269"	"Indo-Aryan"		"Sanskrit"
"sari1246"	"Iranian"		"Sarikoli"
"scot1243"	"Germanic"		"Scots"
"semn1249"	"Iranian"		"Semnani-Biyabuneki"
"sera1259"	"Indo-Aryan"		"Saraiki"
"shah1254"	"Iranian"		"Shahrudi-Southern Talysh"
"sici1248"	"Italic"		"Sicilian"
"sinh1246"	"Indo-Aryan"		"Sinhala"
"slov1268"	"Slavic"		"Slovenian"
"slov1269"	"Slavic"		"Slovak"
"sogd1245"	"Iranian"		"Sogdian"
"sout1528"	"Slavic"		"Serbian-Croatian-Bosnian"
"sout2649"	"Iranian"		"Southern Pashto"
"sran1240"	"Germanic"	"yes"	"Sranan Tongo"
"stan1288"	"Italic"		"Spanish"
"stan1289"	"Italic"		"Catalan"
"stan1290"	"Italic"		"French"
"stan1293"	"Germanic"		"English"
"stan1295"	"Germanic"		"German"
"swab1242"	"Germanic"		"Swabian"
"swed1254"	"Germanic"		"Swedish"
"tokp1240"	"Germanic"	"yes"	"Tok Pisin"
"torr1261"	"Germanic"	"yes"	"Torres Strait-Lockhart River Creole"
"torw1241"	"Indo-Aryan"		"Torwali"
"ukra1253"	"Slavic"		"Ukrainian"
"uppe1395"	"Slavic"		"Upper Sorbian"
"urdu1245"	"Indo-Aryan"		"Urdu"
"vlax1238"	"Indo-Aryan"		"Vlax Romani"
"wakh1245"	"Iranian"		"Wakhi"
"wall1255"	"Italic"		"Walloon"
"wels1246"	"Indo-Aryan"		"Welsh Romani"
"wels1247"	"Celtic"		"Welsh"
"west2354"	"Germanic"		"Western Frisian"
"west2361"	"Germanic"		"Western Yiddish"
"west2368"	"Iranian"		"Western Balochi"
"west2369"	"Iranian"		"Western Farsi"
