Name	Glottocode
Hittite	hitt1242
Luvian	cune1239
TocharianA	tokh1242
TocharianB	tokh1243
MycenaeanGreek	myce1241
AncientGreek	anci1242
NTGreek	koin1234
Greek	mode1248
GreekCappodocian	capp1239
GreekPontic	pont1253
GreekCypriot	cypr1249
GreekItaliot	apul1236
TsakonianPeloponnese	tsak1248
TsakonianPropontis	prop1240
ClassicalArmenian	clas1249
ArmenianEastern	nucl1235
ArmenianWestern	homs1234
AlbanianGheg	gheg1238
AlbanianStandard	alba1267
AlbanianArberesh	arbe1236
VedicEarly	sans1269
Pali	pali1273
Sinhalese	sinh1246
Assamese	assa1263
Bengali	beng1280
Maithili	mait1250
Magahi	maga1260
Bhojpuri	bhoj1244
Hindi	hind1269
Urdu	urdu1245
Nepali	east1436
Punjabi	panj1256
Marathi	mara1378
Kashmiri	kash1277
Palula	ashr1238
Gawri	kala1373
Gawarbati	gawa1247
Khowar	khow1242
PashaiNorthWest	nort2665
Kamviri	kamv1242
AvestanYounger	aves1237
Khwarazmian	khwa1238
Sogdian	sogd1245
Khotanese	khot1251
Pashto	yusu1238
Wakhi	wakh1245
Sarikoli	sari1246
Yaghnobi	yagn1238
Bactrian	bact1239
Parthian	part1239
KurdishNBahdini	nort2641
KurdishCJafi	cent1972
KurdishSElami	sout2640
KurdishSQorveh	sout2640
Hawrami	hawr1243
RajiBarzoki	cent2264
Tati	take1255
Mazanderani	maza1291
BalochiSistani	west2368
OldPersian	oldp1254
MiddlePersian	pahl1241
PersianTehran	west2369
Bakhtiari	bakh1245
Delvari	sout2645
Lari	lari1253
Kumzari	kumz1235
OsseticIron	iron1242
OsseticDigor	digo1242
Latvian	latv1249
Latgalian	east2282
Lithuanian	lith1251
OldPrussian	prus1238
OldChurchSlavonic	chur1257
Bulgarian	bulg1262
Macedonian	mace1250
MacedonianSuho	mace1250
MacedonianVisoka	mace1250
SerboCroatian	croa1245
SloveneEarlyModern	slov1268
Slovene	slov1268
SloveneKostel	lowe1384
OldPolish	poli1260
Polish	poli1260
Kashubian	kash1274
Polabian	pola1255
Slovak	slov1269
OldCzech	czec1258
Czech	czec1258
SorbianUpper	uppe1395
SorbianLower	lowe1385
OldNovgorod	oldr1238
Russian	russ1263
Belarusian	bela1254
Ukrainian	ukra1253
Rusyn	rusy1239
Gothic	goth1244
OldIcelandic	oldn1244
Icelandic	icel1247
Faroese	faro1244
NorwegianBokmal	norw1259
NorwegianNynorsk	norw1262
Elfdalian	elfd1234
OldSwedish	swed1254
Swedish	swed1254
Danish	dani1285
OldEnglish	olde1238
English	stan1293
OldFrisian	oldf1241
Frisian	west2354
MiddleDutch	midd1321
Dutch	dutc1256
Flemish	vlaa1240
OldSaxon	olds1250
OldHighGerman	oldh1241
MiddleHighGerman	midd1343
Luxembourgish	luxe1241
German	stan1295
GermanBernese	swis1247
Latin	lati1261
Romanian	roma1327
MeglenoRomanian	megl1237
DalmatianVegliote	dalm1243
Neapolitan	neap1235
Italian	ital1282
Friulian	friu1240
Ladin	ladi1250
Milanese	mila1243
SardinianNuoro	logu1236
SardinianLogudoro	nuor1238
AngloNorman	angl1258
French	stan1290
Walloon	wall1255
OldOccitan	oldp1253
FrancoProvencal	fran1269
OldCatalan	oldc1251
Catalan	stan1289
OldSpanish	olds1249
Spanish	stan1288
Portuguese	port1283
PortugueseBrazilian	braz1246
Oscan	osca1245
Umbrian	umbr1253
Gaulish	tran1282
OldWelsh	oldw1241
MiddleWelsh	midd1363
WelshNorth	nort2668
MiddleCornish	oldc1252
LateCornish	oldc1252
OldBreton	oldb1248
MiddleBreton	midd1359
BretonGwened	vann1244
BretonTreger	treg1244
OldIrish	oldi1245
GaelicScottish	scot1245
GaelicManx	manx1243
GaelicIrish	iris1253
KalasalaNiseigram	chim1297
SanuviriWama	ashk1246
KatavariEastern	east2308
KatavariKtivi	west2372
VasiVariPaski	lowe1390
